iter	Passed	Remaining
1279	20191	3470
1280	20204	3454
1281	20218	3438
1282	20233	3422
1283	20248	3406
1284	20264	3390
1285	20281	3374
1286	20297	3359
1287	20314	3343
1288	20331	3328
1289	20349	3312
1290	20367	3297
1291	20387	3282
1292	20405	3266
1293	20424	3251
1294	20439	3235
1295	20454	3219
1296	20472	3204
1297	20490	3188
1298	20505	3172
1299	20520	3156
1300	20535	3141
1301	20550	3125
1302	20569	3109
1303	20587	3094
1304	20602	3078
1305	20621	3063
1306	20637	3047
1307	20654	3031
1308	20670	3016
1309	20689	3000
1310	20707	2985
1311	20728	2970
1312	20747	2954
1313	20768	2939
1314	20790	2924
1315	20813	2910
1316	20830	2894
1317	20845	2878
1318	20861	2862
1319	20877	2846
1320	20898	2831
1321	20913	2815
1322	20929	2800
1323	20950	2784
1324	20968	2769
1325	20986	2753
1326	21005	2738
1327	21025	2723
1328	21044	2707
1329	21061	2692
1330	21077	2676
1331	21097	2660
1332	21112	2645
1333	21129	2629
1334	21146	2613
1335	21164	2598
1336	21179	2582
1337	21196	2566
1338	21213	2550
1339	21232	2535
1340	21251	2519
1341	21266	2503
1342	21282	2487
1343	21297	2472
1344	21314	2456
1345	21331	2440
1346	21348	2424
1347	21364	2409
1348	21379	2393
1349	21394	2377
1350	21413	2361
1351	21431	2346
1352	21447	2330
1353	21463	2314
1354	21479	2298
1355	21496	2282
1356	21512	2267
1357	21528	2251
1358	21545	2235
1359	21563	2219
1360	21582	2204
1361	21599	2188
1362	21617	2172
1363	21638	2157
1364	21658	2142
1365	21675	2126
1366	21695	2110
1367	21716	2095
1368	21738	2080
1369	21759	2064
1370	21780	2049
1371	21803	2034
1372	21822	2018
1373	21839	2002
1374	21858	1987
1375	21876	1971
1376	21894	1955
1377	21913	1940
1378	21930	1924
1379	21947	1908
1380	21969	1893
1381	21987	1877
1382	22003	1861
1383	22022	1845
1384	22038	1829
1385	22054	1813
1386	22071	1798
1387	22088	1782
1388	22107	1766
1389	22126	1751
1390	22145	1735
1391	22163	1719
1392	22183	1703
1393	22198	1688
1394	22215	1672
